jobPlanCode,trustLevelCode,trust_level_code,department,specialty,riskScore,riskCategory,mainDrivers,mainDriversText,recommendedAction,riskInterpretation,dataConfidence,modelRiskComponent,ruleRiskComponent
JP-2025-001997,TLC-RESP,TLC-RESP,Medicine,Respiratory,79.8,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.50 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.50 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,73.0
JP-2022-003807,TLC-NEURO,TLC-NEURO,Medicine,Neurology,79.3,High,"['SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.', 'Team-plan alignment score is low (0.64).']",SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan. | Team-plan alignment score is low (0.64).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,72.5
JP-2022-001998,TLC-RESP,TLC-RESP,Medicine,Respiratory,79.1,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,72.0
JP-2024-003563,TLC-ENT,TLC-ENT,Surgery,ENT,78.1,High,"['SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'Team-plan alignment score is low (0.71).']",SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | Team-plan alignment score is low (0.71).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,70.9
JP-2023-003596,TLC-ANAES,TLC-ANAES,Surgery,Anaesthetics,78.1,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,71.0
JP-2026-003006,TLC-ONC,TLC-ONC,Medicine,Oncology,78.0,High,"['SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.', 'Team-plan alignment score is low (0.63).']",SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan. | Team-plan alignment score is low (0.63).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,70.6
JP-2026-003007,TLC-ENT,TLC-ENT,Surgery,ENT,77.7,High,"['SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 0.75 PA compared with prior plan.', 'Team-plan alignment score is low (0.69).']",SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 0.75 PA compared with prior plan. | Team-plan alignment score is low (0.69).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,70.1
JP-2026-001393,TLC-RESP,TLC-RESP,Medicine,Respiratory,77.5,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.00 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.00 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,70.0
JP-2023-002366,TLC-GASTRO,TLC-GASTRO,Medicine,Gastroenterology,77.4,High,"['SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'High history change count detected (24).']",SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | High history change count detected (24).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,70.0
JP-2026-000425,TLC-GASTRO,TLC-GASTRO,Medicine,Gastroenterology,76.9,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,69.6
JP-2026-004271,TLC-DERM,TLC-DERM,Medicine,Dermatology,76.6,High,"['SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'High history change count detected (16).']",SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | High history change count detected (16).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,69.0
JP-2026-004808,TLC-DERM,TLC-DERM,Medicine,Dermatology,76.5,High,"['SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 1.00 PA compared with prior plan.', 'Team-plan alignment score is low (0.60).']",SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 1.00 PA compared with prior plan. | Team-plan alignment score is low (0.60).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,69.0
JP-2026-004076,TLC-ORTH,TLC-ORTH,Surgery,Orthopaedics,76.0,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,68.0
JP-2025-002528,TLC-ANAES,TLC-ANAES,Surgery,Anaesthetics,76.0,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,68.0
JP-2024-000488,TLC-NEURO,TLC-NEURO,Medicine,Neurology,75.9,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.']",PA limit breach detected against configured trust limits. | SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan.,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,68.2
JP-2024-004824,TLC-ENT,TLC-ENT,Surgery,ENT,75.8,High,"['SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'Team-plan alignment score is low (0.70).']",SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | Team-plan alignment score is low (0.70).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,67.8
JP-2025-000380,TLC-NEURO,TLC-NEURO,Medicine,Neurology,75.6,High,"['SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 1.00 PA compared with prior plan.', 'Team-plan alignment score is low (0.75).']",SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 1.00 PA compared with prior plan. | Team-plan alignment score is low (0.75).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,67.3
JP-2024-001409,TLC-GASTRO,TLC-GASTRO,Medicine,Gastroenterology,75.3,High,"['SPA increased by 1.00 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'Team-plan alignment score is low (0.73).']",SPA increased by 1.00 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | Team-plan alignment score is low (0.73).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,67.4
JP-2023-000859,TLC-RENAL,TLC-RENAL,Medicine,Renal,75.2,High,"['PA limit breach detected against configured trust limits.', 'SPA increased by 1.25 PA compared with prior plan.', 'Team-plan alignment score is low (0.70).']",PA limit breach detected against configured trust limits. | SPA increased by 1.25 PA compared with prior plan. | Team-plan alignment score is low (0.70).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,67.2
JP-2024-002898,TLC-ENT,TLC-ENT,Surgery,ENT,75.2,High,"['SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'Team-plan alignment score is low (0.65).']",SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | Team-plan alignment score is low (0.65).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,66.8
JP-2024-002680,TLC-ANAES,TLC-ANAES,Surgery,Anaesthetics,75.1,High,"['SPA increased by 1.50 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'High history change count detected (19).']",SPA increased by 1.50 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | High history change count detected (19).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,67.0
JP-2026-003087,TLC-RENAL,TLC-RENAL,Medicine,Renal,75.1,High,"['SPA increased by 1.25 PA compared with prior plan.', 'DCC reduced by 1.25 PA compared with prior plan.', 'Team-plan alignment score is low (0.60).']",SPA increased by 1.25 PA compared with prior plan. | DCC reduced by 1.25 PA compared with prior plan. | Team-plan alignment score is low (0.60).,Immediate Clinical Director review,This JobPlan should be prioritised for review.,High,99.6,66.6
