job_plan_code,user_code_hash,trust_level_code,parent_trust_level_code,department,specialty,planning_year,plan_stage,currentStageOrdinal,daysInCurrentStage,pAsPerWeek,paidPA,minsPerWeek,ntPerPA,workType,doctorClassification,isSignedUpToNewContract,isAnnualised,uses5thWeekPerQuarter,hasTeamPlanLink,totalPAs,dccPAs,spaPAs,cpPAs,otherPAs,isOnCall,isShift,isCPD,priorTotalPAs,priorDccPAs,priorSpaPAs,yearsSinceLastPlan,peerMedianSpaShare,peerMedianDccShare,peerGroupSize,paLimitBreach,spaAbovePeerThreshold,missingTeamPlanLink,teamPlanAlignmentScore,teamDemandPAs,teamPlannedCapacityPAs,historyChangeCount,hasMediationOrAppeal,hasNewManagerChanges,planReturnedToDiscussionAfterSignoff,isLocum,gradeCode,isConsultant
JP-2026-000011,3CE68C0DE405A807,TLC-NEURO,TLC-MED,Medicine,Neurology,2026,Draft,1,17,12.0,12.0,2880,240,FullTime,Consultant,true,false,false,true,12.0,8.5,2.75,0.25,0.5,true,false,false,11.5,8.5,3.25,1,0.21,0.73,11,false,false,false,0.71,33.8,24.0,8,false,false,false,false,CONS,true
JP-2023-000012,2EEF5A3E1EFF8B90,TLC-GASTRO,TLC-MED,Medicine,Gastroenterology,2023,Draft,1,12,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,false,10.0,7.75,1.5,0.75,0.0,true,false,false,9.5,8.0,1.5,1,0.2,0.75,11,false,false,true,0.93,41.5,38.6,1,false,false,false,false,CONS,true
JP-2025-000013,53DD7002CD11A877,TLC-DERM,TLC-MED,Medicine,Dermatology,2025,Discussion,2,28,11.0,11.0,2640,240,FullTime,Consultant,true,false,true,true,11.0,8.5,2.5,0.0,0.0,false,false,true,11.5,8.25,2.25,1,0.18,0.78,8,false,false,false,0.929,29.6,27.5,2,false,false,false,false,CONS,true
JP-2026-000014,DBB8561D8DB8C811,TLC-DERM,TLC-MED,Medicine,Dermatology,2026,Discussion,2,13,11.0,11.0,2640,240,FullTime,Consultant,true,true,false,true,11.0,8.5,2.0,0.5,0.0,false,false,true,10.75,8.5,1.75,1,0.18,0.78,28,false,false,false,0.988,25.4,25.1,5,false,false,false,false,CONS,true
JP-2026-000015,E059A9DB0C330987,TLC-ENT,TLC-SURG,Surgery,ENT,2026,Draft,1,9,10.5,10.5,2520,240,FullTime,SAS,true,false,false,true,10.5,8.0,2.25,0.25,0.0,false,false,false,9.75,8.25,2.5,1,0.18,0.77,27,false,false,false,0.923,33.8,31.2,2,false,true,false,false,SAS,false
JP-2022-000016,7543CB8A31D870A6,TLC-RESP,TLC-MED,Medicine,Respiratory,2022,SignOff,3,49,8.5,8.5,2040,240,PartTime,Consultant,true,false,false,true,8.5,5.75,2.0,0.75,0.0,false,false,true,8.0,6.0,1.75,1,0.2,0.75,6,false,false,false,0.953,38.3,36.5,9,false,false,false,false,CONS,true
JP-2023-000017,BE35A8AF7869383D,TLC-UROL,TLC-SURG,Surgery,Urology,2023,Discussion,2,17,11.0,11.0,2640,240,FullTime,Consultant,true,false,false,true,11.0,7.5,2.5,0.0,1.0,false,true,false,11.25,7.75,2.5,1,0.19,0.76,13,false,false,false,0.973,40.2,39.1,7,false,false,false,false,CONS,true
JP-2025-000018,B362BEEF23EC94E3,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2025,Draft,1,17,10.5,10.5,2520,240,FullTime,Consultant,true,false,true,true,10.5,7.0,3.25,0.0,0.25,false,false,false,11.0,7.75,2.25,2,0.2,0.76,9,false,true,false,0.956,47.5,45.4,8,false,false,false,false,CONS,true
JP-2025-000019,B362BEEF23EC94E3,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2025,Draft,1,1,10.5,10.5,2520,240,FullTime,Consultant,true,true,false,true,10.5,8.25,2.0,0.0,0.25,false,false,false,11.0,8.25,2.25,1,0.2,0.76,30,false,false,false,0.983,46.6,45.8,4,false,false,false,false,CONS,true
JP-2025-000020,B6A9A021A4A2540F,TLC-ENT,TLC-SURG,Surgery,ENT,2025,Discussion,2,14,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,8.25,1.75,0.5,0.0,false,false,false,10.5,8.5,2.0,1,0.18,0.77,8,false,false,false,0.92,35.1,32.3,0,false,false,false,false,CONS,true
JP-2025-000021,7FD53E26E40AAA7B,TLC-ENT,TLC-SURG,Surgery,ENT,2025,Discussion,2,23,10.75,10.75,2580,240,FullTime,Consultant,true,false,false,true,10.75,8.5,2.0,0.25,0.0,false,false,false,10.25,8.75,2.25,1,0.18,0.77,28,false,false,false,0.943,38.3,36.1,2,false,false,false,false,CONS,true
JP-2026-000022,2151CC86A3E66CD3,TLC-DERM,TLC-MED,Medicine,Dermatology,2026,Discussion,2,22,11.0,11.0,2640,240,FullTime,Consultant,true,false,false,true,11.0,8.25,2.25,0.5,0.0,true,false,false,10.5,8.5,2.25,1,0.18,0.78,16,false,false,false,0.963,24.6,23.7,2,false,false,false,false,CONS,true
JP-2022-000023,71C9196EF313367F,TLC-ENT,TLC-SURG,Surgery,ENT,2022,Draft,1,14,9.5,9.5,2280,240,PartTime,Consultant,true,false,false,true,9.5,7.25,1.5,0.75,0.0,true,false,false,8.75,7.0,1.75,2,0.18,0.77,5,false,false,false,0.981,37.1,36.4,6,false,false,false,false,CONS,true
JP-2025-000024,581BA4E31368B080,TLC-DERM,TLC-MED,Medicine,Dermatology,2025,Discussion,2,11,11.25,11.25,2700,240,FullTime,Consultant,true,false,false,true,11.25,8.25,2.5,0.25,0.25,true,false,true,10.75,8.25,2.5,1,0.18,0.78,33,false,false,false,0.965,25.8,24.9,8,false,true,false,false,CONS,true
JP-2026-000025,E0272681301CA020,TLC-ANAES,TLC-SURG,Surgery,Anaesthetics,2026,Discussion,2,31,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,8.0,1.25,0.0,1.25,true,false,false,11.0,8.0,1.5,1,0.17,0.79,18,false,false,false,0.941,41.0,38.6,6,false,false,false,false,CONS,true
JP-2025-000026,CF0062FBAEEA7AC7,TLC-GENSURG,TLC-SURG,Surgery,General Surgery,2025,SignOff,3,50,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,8.0,2.0,0.25,0.25,true,false,true,10.0,7.75,2.0,1,0.18,0.78,28,false,false,false,1.004,48.3,48.5,36,false,false,false,false,CONS,true
JP-2023-000027,345C301483601EE8,TLC-GASTRO,TLC-MED,Medicine,Gastroenterology,2023,Discussion,2,11,9.75,9.75,2340,240,FullTime,Consultant,true,false,false,true,9.75,7.0,2.25,0.25,0.25,false,false,true,9.75,6.75,2.0,2,0.2,0.75,32,false,false,false,0.924,43.6,40.3,3,false,false,true,false,CONS,true
JP-2024-000028,A7A883FCCE210356,TLC-ENT,TLC-SURG,Surgery,ENT,2024,Discussion,2,28,11.0,11.0,2640,240,FullTime,Consultant,false,false,false,false,11.0,7.75,2.75,0.5,0.0,false,false,true,11.5,7.75,3.0,1,0.18,0.77,24,false,false,true,0.761,33.5,25.5,5,false,false,false,false,CONS,true
JP-2026-000029,E5B2C40EC87BA077,TLC-GENSURG,TLC-SURG,Surgery,General Surgery,2026,SignOff,3,42,11.75,11.75,2820,240,FullTime,Consultant,true,true,false,true,11.75,9.0,2.0,0.0,0.75,true,false,false,11.5,9.25,2.25,2,0.18,0.78,21,false,false,false,0.973,44.5,43.3,5,false,false,false,true,CONS,true
JP-2022-000030,2D18F68710F796D1,TLC-GENSURG,TLC-SURG,Surgery,General Surgery,2022,Locked,4,77,11.25,11.25,2700,240,FullTime,Consultant,false,false,false,true,11.25,8.5,2.25,0.0,0.5,false,false,false,11.25,8.25,2.75,1,0.18,0.78,17,false,false,false,0.877,48.8,42.8,8,false,false,false,false,CONS,true
JP-2022-000031,58C6A45038036617,TLC-RENAL,TLC-MED,Medicine,Renal,2022,SignOff,3,36,9.5,9.5,2280,240,FullTime,Associate Specialist,true,false,false,true,9.5,6.75,2.0,0.25,0.5,true,false,false,9.25,7.0,1.75,2,0.21,0.73,25,false,false,false,0.917,33.6,30.8,5,false,false,false,false,ASSOCSPEC,false
JP-2024-000032,987ED2C52AABCD58,TLC-ENT,TLC-SURG,Surgery,ENT,2024,Locked,4,39,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,7.5,2.25,0.5,0.25,true,false,false,10.75,7.5,2.5,1,0.18,0.77,33,false,false,false,0.932,33.6,31.3,7,false,true,false,false,CONS,true
JP-2024-000033,349C514A631EEB71,TLC-DERM,TLC-MED,Medicine,Dermatology,2024,Discussion,2,45,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,true,10.0,8.0,1.75,0.25,0.0,true,false,false,9.25,8.0,1.5,1,0.18,0.78,23,false,false,false,0.914,27.9,25.5,7,false,false,false,false,CONS,true
JP-2025-000034,41F13EE44AF206E6,TLC-UROL,TLC-SURG,Surgery,Urology,2025,Discussion,2,44,8.5,8.5,2040,240,PartTime,Consultant,true,false,true,false,8.5,6.5,1.75,0.25,0.0,false,false,false,9.0,6.0,2.0,1,0.19,0.76,26,false,false,true,,,,7,false,false,false,false,CONS,true
JP-2024-000035,0DA8F0D3546432A0,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2024,Locked,4,109,12.5,12.5,3000,240,FullTime,Consultant,true,false,false,true,12.5,8.0,4.25,0.25,0.0,false,false,true,13.0,7.75,4.0,1,0.2,0.76,17,true,true,false,1.012,50.9,51.5,29,false,false,false,false,CONS,true
JP-2026-000036,6EC99C0B25BC2F28,TLC-CARD,TLC-MED,Medicine,Cardiology,2026,Draft,1,9,9.0,9.0,2160,240,PartTime,Consultant,true,false,false,true,9.0,6.5,1.75,0.0,0.75,false,false,true,9.0,6.75,1.25,2,0.22,0.74,15,false,false,false,0.951,43.2,41.1,3,false,false,false,false,CONS,true
JP-2022-000037,8CA62FC287075C9E,TLC-UROL,TLC-SURG,Surgery,Urology,2022,Discussion,2,35,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,8.25,2.25,0.0,0.0,false,false,false,11.0,7.75,2.25,1,0.19,0.76,28,false,false,false,0.907,34.3,31.1,1,false,false,false,true,CONS,true
JP-2022-000038,93124342BCD06454,TLC-ONC,TLC-MED,Medicine,Oncology,2022,SignOff,3,148,9.75,9.75,2340,240,PartTime,Consultant,true,false,false,true,9.75,6.5,2.75,0.5,0.0,false,false,true,9.0,6.75,2.75,1,0.19,0.76,9,false,true,false,0.932,28.1,26.2,19,false,false,false,false,CONS,true
JP-2025-000039,DBB8561D8DB8C811,TLC-DERM,TLC-MED,Medicine,Dermatology,2025,Locked,4,61,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,7.75,1.75,0.75,0.25,false,false,false,10.5,7.5,1.75,1,0.18,0.78,34,false,false,false,0.987,23.6,23.3,7,false,false,false,false,CONS,true
JP-2025-000040,18EFFDC85B26535B,TLC-UROL,TLC-SURG,Surgery,Urology,2025,Locked,4,55,11.25,11.25,2700,240,FullTime,Associate Specialist,true,false,false,true,11.25,6.75,3.0,0.0,1.5,true,false,true,11.75,7.75,1.75,2,0.19,0.76,24,true,false,false,0.967,42.0,40.6,0,false,false,false,false,ASSOCSPEC,false
JP-2026-000041,C1F537C8787D2EA8,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2026,SignOff,3,13,12.25,12.25,2940,240,FullTime,Consultant,true,false,true,true,12.25,8.5,2.5,0.5,0.75,true,false,false,11.75,9.0,1.5,1,0.2,0.76,19,true,false,false,1.014,51.6,52.3,5,false,false,false,false,CONS,true
JP-2026-000042,B5333849D24A7F93,TLC-NEURO,TLC-MED,Medicine,Neurology,2026,Discussion,2,21,11.5,11.5,2760,240,FullTime,Consultant,true,false,false,true,11.5,7.5,2.75,0.25,1.0,false,false,true,11.25,7.5,3.0,1,0.21,0.73,24,false,false,false,0.903,34.0,30.7,1,false,false,false,false,CONS,true
JP-2022-000043,C3DCBB4FBCDFBA6C,TLC-RESP,TLC-MED,Medicine,Respiratory,2022,Draft,1,2,12.0,12.0,2880,240,FullTime,SAS,true,false,false,true,12.0,7.5,3.25,0.75,0.5,false,false,true,12.5,8.5,2.25,1,0.2,0.75,21,true,false,false,,,,0,false,false,false,false,SAS,false
JP-2024-000044,41A2FA072723EF96,TLC-CARD,TLC-MED,Medicine,Cardiology,2024,SignOff,3,23,10.25,10.25,2460,240,FullTime,Consultant,true,false,false,true,10.25,6.75,3.25,0.25,0.0,true,false,false,10.0,6.75,3.25,2,0.22,0.74,16,false,true,false,0.969,48.2,46.7,1,false,false,false,false,CONS,true
JP-2026-000045,F6A2D24F94F93ACE,TLC-RESP,TLC-MED,Medicine,Respiratory,2026,Discussion,2,11,10.0,10.0,2400,240,FullTime,SAS,true,false,false,true,10.0,8.0,1.75,0.0,0.25,false,false,false,10.0,8.0,2.0,1,0.2,0.75,18,false,false,false,0.975,43.4,42.3,9,false,false,false,true,SAS,false
JP-2025-000046,961A788BD1D74B84,TLC-NEURO,TLC-MED,Medicine,Neurology,2025,SignOff,3,30,10.0,10.0,2400,240,FullTime,Consultant,false,false,false,true,10.0,6.75,1.75,0.75,0.75,true,false,false,10.5,6.5,2.0,1,0.21,0.73,34,false,false,false,0.983,35.6,35.0,5,false,false,true,false,CONS,true
JP-2025-000047,6BC1F3CEE83DD658,TLC-UROL,TLC-SURG,Surgery,Urology,2025,Draft,1,17,11.0,11.0,2640,240,FullTime,SAS,true,true,false,true,11.0,8.25,2.0,0.0,0.75,false,false,false,10.25,8.25,2.0,1,0.19,0.76,27,false,false,false,0.968,40.1,38.8,7,false,false,false,false,SAS,false
JP-2025-000048,1D4485B19F2E8B4E,TLC-ENT,TLC-SURG,Surgery,ENT,2025,Discussion,2,43,11.0,11.0,2640,240,FullTime,Consultant,true,false,true,true,11.0,6.75,3.75,0.5,0.0,false,false,true,11.5,8.25,2.25,1,0.18,0.77,23,false,true,false,0.939,37.6,35.3,3,false,false,false,false,CONS,true
JP-2023-000049,35382A6638935456,TLC-UROL,TLC-SURG,Surgery,Urology,2023,Discussion,2,45,11.5,11.5,2760,240,FullTime,Associate Specialist,true,false,false,true,11.5,9.25,1.75,0.0,0.5,false,false,true,11.25,9.25,1.75,1,0.19,0.76,19,true,false,false,0.919,39.7,36.5,1,false,false,false,false,ASSOCSPEC,false
JP-2026-000050,F2F9427CE7D54F44,TLC-NEURO,TLC-MED,Medicine,Neurology,2026,Draft,1,12,5.75,5.75,1380,240,PartTime,SAS,true,false,false,true,5.75,3.75,1.0,0.5,0.5,false,false,false,5.5,3.75,1.0,2,0.21,0.73,29,false,false,false,0.968,40.5,39.2,1,false,false,false,false,SAS,false
JP-2026-000051,F2B7613971C80ED8,TLC-ANAES,TLC-SURG,Surgery,Anaesthetics,2026,Discussion,2,10,12.25,12.25,2940,240,FullTime,Consultant,true,false,false,true,12.25,10.25,1.5,0.5,0.0,true,false,false,12.0,10.5,1.75,1,0.17,0.79,18,true,false,false,0.997,39.3,39.2,2,false,false,false,false,CONS,true
JP-2023-000052,0CDEA903EADF98B2,TLC-GENSURG,TLC-SURG,Surgery,General Surgery,2023,Discussion,2,20,9.5,9.5,2280,240,PartTime,Consultant,true,false,false,true,9.5,6.75,1.75,0.0,1.0,false,false,true,9.0,7.0,1.5,1,0.18,0.78,25,false,false,false,0.941,51.0,48.0,6,false,false,false,false,CONS,true
JP-2026-000053,5B942F3EF0D47B01,TLC-RENAL,TLC-MED,Medicine,Renal,2026,Draft,1,13,8.5,8.5,2040,240,PartTime,Consultant,true,false,false,true,8.5,6.25,1.5,0.75,0.0,false,false,false,8.5,6.0,1.25,2,0.21,0.73,9,false,false,false,0.997,31.0,30.9,8,false,false,false,true,CONS,true
JP-2023-000054,41248156DBC47FD1,TLC-CARD,TLC-MED,Medicine,Cardiology,2023,SignOff,3,58,12.0,12.0,2880,240,FullTime,Consultant,true,false,false,true,12.0,8.75,2.5,0.25,0.5,true,false,true,12.0,8.75,2.25,1,0.22,0.74,10,false,false,false,0.949,49.1,46.6,3,false,false,false,true,CONS,true
JP-2022-000055,E0767DB289CBA5D2,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2022,Locked,4,96,11.25,11.25,2700,240,FullTime,Consultant,true,false,false,true,11.25,8.5,2.0,0.25,0.5,false,false,true,10.5,8.75,2.25,1,0.2,0.76,7,false,false,false,1.004,52.5,52.7,5,false,false,false,false,CONS,true
JP-2025-000056,26DAE193DD26A749,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2025,Discussion,2,36,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,7.75,2.5,0.0,0.25,true,false,true,10.0,8.0,2.75,1,0.2,0.76,22,false,false,false,0.985,46.5,45.8,1,false,false,false,false,CONS,true
JP-2026-000057,78669AF1574A9FEF,TLC-UROL,TLC-SURG,Surgery,Urology,2026,Draft,1,85,11.75,11.75,2820,240,FullTime,Consultant,true,false,false,true,11.75,9.0,2.25,0.0,0.5,false,false,false,11.25,9.25,2.75,1,0.19,0.76,23,false,false,false,1.04,34.6,36.0,32,false,true,false,false,CONS,true
JP-2024-000058,93124342BCD06454,TLC-ONC,TLC-MED,Medicine,Oncology,2024,Discussion,2,18,6.75,6.75,1620,240,PartTime,Consultant,true,false,false,true,6.75,5.0,1.25,0.5,0.0,true,false,true,6.5,4.75,1.0,1,0.19,0.76,23,false,false,false,1.004,26.2,26.3,8,false,false,false,false,CONS,true
JP-2026-000059,DF9771EAAF5B330E,TLC-ORTH,TLC-SURG,Surgery,Orthopaedics,2026,Draft,1,9,11.75,11.75,2820,240,FullTime,Consultant,true,false,false,true,11.75,8.75,2.25,0.0,0.75,false,false,true,11.0,8.75,2.0,2,0.2,0.76,15,false,false,false,0.95,52.5,49.9,6,false,false,false,false,CONS,true
JP-2026-000060,99A686F4F98DAF6E,TLC-RENAL,TLC-MED,Medicine,Renal,2026,SignOff,3,20,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,7.75,2.0,0.75,0.0,false,false,false,10.0,7.75,2.25,1,0.21,0.73,28,false,false,false,0.945,34.7,32.8,4,false,false,false,false,CONS,true
JP-2026-000061,0EA385C39F47A5DE,TLC-GASTRO,TLC-MED,Medicine,Gastroenterology,2026,Discussion,2,56,11.75,11.75,2820,240,FullTime,Consultant,true,false,false,true,11.75,8.25,3.25,0.25,0.0,false,true,false,11.25,8.25,2.75,2,0.2,0.75,34,false,false,false,1.03,43.3,44.6,16,false,false,false,false,CONS,true
JP-2025-000062,0D8B8660B0D3FA26,TLC-NEURO,TLC-MED,Medicine,Neurology,2025,Draft,1,17,10.0,10.0,2400,240,FullTime,Consultant,true,false,false,true,10.0,7.5,2.0,0.25,0.25,true,false,false,9.25,7.75,1.75,1,0.21,0.73,13,false,false,false,0.986,29.3,28.9,4,false,false,false,false,CONS,true
JP-2022-000063,0137ADE4A696D650,TLC-CARD,TLC-MED,Medicine,Cardiology,2022,SignOff,3,66,9.5,9.5,2280,240,FullTime,SAS,true,false,false,true,9.5,6.5,2.25,0.0,0.75,true,false,false,8.75,6.0,2.5,1,0.22,0.74,9,false,false,false,0.856,38.2,32.7,8,false,false,true,false,SAS,false
JP-2024-000064,B3D0DE4487260CC6,TLC-GENSURG,TLC-SURG,Surgery,General Surgery,2024,Draft,1,16,11.75,11.75,2820,240,FullTime,Consultant,true,false,false,false,11.75,7.75,3.5,0.5,0.0,true,false,false,11.5,9.0,2.5,1,0.18,0.78,12,false,true,true,,,,2,false,true,false,false,CONS,true
JP-2025-000065,8183588FBF51BE69,TLC-DERM,TLC-MED,Medicine,Dermatology,2025,Discussion,2,12,10.5,10.5,2520,240,FullTime,Consultant,true,false,false,true,10.5,8.0,1.75,0.0,0.75,true,false,true,10.25,7.75,1.75,1,0.18,0.78,33,false,false,false,0.77,27.8,21.4,6,false,false,false,false,CONS,true
JP-2023-000066,85ADB9FBD7A702BD,TLC-UROL,TLC-SURG,Surgery,Urology,2023,Draft,1,73,9.25,9.25,2220,240,PartTime,Consultant,true,false,false,false,9.25,6.75,2.25,0.25,0.0,true,false,true,9.75,6.75,2.5,1,0.19,0.76,21,false,false,true,,,,33,false,false,false,false,CONS,true
JP-2024-000067,51B3474B21A8E792,TLC-RESP,TLC-MED,Medicine,Respiratory,2024,Draft,1,18,11.0,11.0,2640,240,FullTime,Consultant,true,false,false,true,11.0,8.0,2.5,0.5,0.0,true,false,true,11.0,7.5,3.0,1,0.2,0.75,13,false,false,false,0.753,37.7,28.4,2,false,false,false,false,CONS,true
JP-2022-000068,60CE2037037990F9,TLC-UROL,TLC-SURG,Surgery,Urology,2022,SignOff,3,58,11.5,11.5,2760,240,FullTime,Consultant,false,false,false,true,11.5,8.0,1.5,0.25,1.75,true,false,false,11.0,8.0,1.5,1,0.19,0.76,26,false,false,false,0.997,38.5,38.4,2,false,false,false,false,CONS,true
JP-2025-000069,DBB8561D8DB8C811,TLC-DERM,TLC-MED,Medicine,Dermatology,2025,Draft,1,13,13.25,13.25,3180,240,FullTime,Consultant,true,false,false,true,13.25,9.25,2.0,0.25,1.75,false,false,false,12.75,9.25,2.0,2,0.18,0.78,13,true,false,false,1.012,25.5,25.8,0,false,false,false,false,CONS,true
JP-2026-000070,3B0A0F87B998F9A2,TLC-RENAL,TLC-MED,Medicine,Renal,2026,Discussion,2,5,9.5,9.5,2280,240,PartTime,Consultant,true,false,false,false,9.5,6.0,3.0,0.25,0.25,false,false,true,9.75,7.25,2.25,1,0.21,0.73,6,false,true,true,0.993,30.5,30.3,4,false,false,false,false,CONS,true
JP-2025-000071,DB5E35991F350C20,TLC-ENT,TLC-SURG,Surgery,ENT,2025,Discussion,2,63,9.5,9.5,2280,240,PartTime,SAS,true,false,false,false,9.5,6.25,2.75,0.5,0.0,false,false,false,10.0,6.5,2.5,1,0.18,0.77,15,false,true,true,1.023,30.2,30.9,13,false,false,false,false,SAS,false
JP-2023-000072,6325E270A7D742A4,TLC-ONC,TLC-MED,Medicine,Oncology,2023,SignOff,3,63,11.0,11.0,2640,240,FullTime,Consultant,true,false,false,true,11.0,8.75,1.25,0.0,1.0,true,false,true,10.5,8.5,1.25,1,0.19,0.76,34,false,false,false,0.912,34.2,31.2,9,false,false,false,false,CONS,true
JP-2025-000073,4EBAFD758E93BB98,TLC-RESP,TLC-MED,Medicine,Respiratory,2025,Locked,4,71,12.25,12.25,2940,240,FullTime,Consultant,true,false,false,true,12.25,9.5,2.0,0.0,0.75,false,false,false,12.0,9.5,1.75,1,0.2,0.75,28,true,false,false,1.009,46.4,46.8,1,false,false,false,false,CONS,true
JP-2023-000074,1AF0C6BA620B9485,TLC-GASTRO,TLC-MED,Medicine,Gastroenterology,2023,Discussion,2,18,10.0,10.0,2400,240,PartTime,Consultant,true,false,false,true,10.0,7.0,2.0,0.25,0.75,true,false,false,10.0,7.25,1.75,1,0.2,0.75,20,false,false,false,0.979,43.9,43.0,0,false,false,false,false,CONS,true
JP-2024-000075,952D4B48CA01B0B6,TLC-NEURO,TLC-MED,Medicine,Neurology,2024,Draft,1,6,10.75,10.75,2580,240,FullTime,Consultant,true,false,false,true,10.75,8.0,2.75,0.0,0.0,false,false,false,10.25,8.0,2.5,1,0.21,0.73,28,false,false,false,0.697,34.3,23.9,3,false,false,false,true,CONS,true
